,CCS,PrecIntensity,PrecMz,Precursor,RetTime,reps,Sample
488,194.85500000000002,42395.5,481.16405,Z1MZ481TIM3P1,3.3765,2.0,SW218968-1
489,187.9,91493.5,481.0736,Z1MZ481TIM3P2,3.7615,2.0,SW218968-1
490,132.965,563568.5,222.1132,Z1MZ222TIM3P1,3.757,2.0,SW218968-1
491,147.585,19996.0,223.20585,Z1MZ223TIM5P1,5.376,2.0,SW218968-1
492,166.85500000000002,609317.5,391.1373,Z1MZ391TIM3P1,3.5210000000000004,2.0,SW218968-1
493,119.695,18336.5,178.1245,Z1MZ178TIM2P1,2.3255,2.0,SW218968-1
494,242.135,236436.5,575.23245,Z1MZ575TIM4P1,4.224,2.0,SW218968-1
495,155.87,78255.5,277.21595,Z1MZ277TIM4P1,4.443,2.0,SW218968-1
496,157.685,559263.0,277.1816,Z1MZ277TIM4P2,4.891500000000001,2.0,SW218968-1
497,169.745,1058923.5,391.2095,Z1MZ391TIM5P1,5.511,2.0,SW218968-1
498,156.82,82798.0,242.28465,Z1MZ242TIM3P1,3.4385,2.0,SW218968-1
499,144.95,151170.5,279.09325,Z1MZ279TIM1P1,1.5430000000000001,2.0,SW218968-1
500,91.88499999999999,23954.5,119.05019999999999,Z1MZ119TIM3P1,3.7615,2.0,SW218968-1
